,epoch,loss,accuracy,recall,precision,f1
0,0,0.58,0.68,[0.9  0.25],[0.69 0.36],[0.77 0.26]
1,1,0.49,0.76,[0.88 0.53],[0.79 0.68],[0.83 0.59]
2,2,0.47,0.78,[0.89 0.55],[0.8 0.7],[0.84 0.61]
3,3,0.46,0.78,[0.89 0.56],[0.81 0.71],[0.84 0.62]
4,4,0.45,0.79,[0.89 0.57],[0.81 0.72],[0.85 0.63]
5,5,0.44,0.8,[0.9  0.59],[0.82 0.73],[0.85 0.64]
6,6,0.43,0.8,[0.9  0.61],[0.83 0.74],[0.86 0.66]
7,7,0.42,0.81,[0.9  0.63],[0.83 0.76],[0.86 0.68]
8,8,0.4,0.82,[0.91 0.65],[0.84 0.77],[0.87 0.7 ]
9,9,0.38,0.84,[0.91 0.68],[0.86 0.79],[0.88 0.72]
10,10,0.36,0.85,[0.92 0.72],[0.87 0.81],[0.89 0.75]
11,11,0.34,0.86,[0.92 0.74],[0.88 0.83],[0.9  0.78]
12,12,0.32,0.87,[0.93 0.76],[0.89 0.84],[0.91 0.79]
13,13,0.3,0.88,[0.93 0.78],[0.9  0.84],[0.91 0.8 ]
14,14,0.28,0.89,[0.94 0.8 ],[0.91 0.86],[0.92 0.83]
15,15,0.27,0.9,[0.94 0.81],[0.91 0.87],[0.92 0.83]
16,16,0.26,0.9,[0.95 0.81],[0.91 0.88],[0.93 0.84]
17,17,0.25,0.91,[0.94 0.83],[0.92 0.88],[0.93 0.85]
18,18,0.23,0.92,[0.95 0.84],[0.93 0.9 ],[0.94 0.86]
19,19,0.22,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
20,20,0.22,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
21,21,0.2,0.92,[0.95 0.85],[0.93 0.91],[0.94 0.87]
