,epoch,loss,accuracy,recall,precision,f1
0,0,0.54,0.74,[0.92 0.37],[0.76 0.55],[0.83 0.43]
1,1,0.46,0.79,[0.9  0.55],[0.8  0.73],[0.85 0.62]
2,2,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
3,3,0.42,0.81,[0.9  0.62],[0.83 0.76],[0.86 0.67]
4,4,0.4,0.82,[0.91 0.64],[0.84 0.77],[0.87 0.69]
5,5,0.37,0.84,[0.91 0.68],[0.85 0.79],[0.88 0.72]
6,6,0.34,0.86,[0.92 0.72],[0.87 0.82],[0.89 0.76]
7,7,0.31,0.88,[0.93 0.76],[0.89 0.84],[0.91 0.8 ]
8,8,0.27,0.9,[0.94 0.81],[0.91 0.87],[0.92 0.83]
9,9,0.23,0.91,[0.95 0.83],[0.92 0.89],[0.94 0.86]
10,10,0.2,0.93,[0.96 0.87],[0.94 0.91],[0.95 0.88]
11,11,0.18,0.93,[0.96 0.88],[0.94 0.92],[0.95 0.9 ]
12,12,0.15,0.95,[0.97 0.91],[0.96 0.94],[0.96 0.92]
13,13,0.12,0.96,[0.98 0.93],[0.97 0.96],[0.97 0.94]
14,14,0.12,0.96,[0.98 0.93],[0.97 0.95],[0.97 0.94]
15,15,0.11,0.97,[0.98 0.94],[0.97 0.96],[0.98 0.95]
16,16,0.09,0.98,[0.99 0.95],[0.98 0.97],[0.98 0.96]
17,17,0.07,0.98,[0.99 0.97],[0.98 0.98],[0.99 0.97]
18,18,0.05,0.99,[0.99 0.98],[0.99 0.99],[0.99 0.98]
19,19,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.99]
20,20,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.99]
21,21,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.99]
