,epoch,loss,accuracy,recall,precision,f1
0,0,0.63,0.68,[0.99 0.05],[0.68 0.29],[0.8  0.08]
1,1,0.57,0.72,[0.97 0.21],[0.71 0.7 ],[0.82 0.3 ]
2,2,0.53,0.75,[0.94 0.35],[0.75 0.75],[0.83 0.45]
3,3,0.5,0.77,[0.93 0.44],[0.77 0.76],[0.84 0.53]
4,4,0.47,0.78,[0.93 0.5 ],[0.79 0.77],[0.85 0.58]
5,5,0.45,0.79,[0.92 0.53],[0.8  0.77],[0.86 0.61]
6,6,0.44,0.81,[0.92 0.57],[0.81 0.78],[0.86 0.64]
7,7,0.42,0.81,[0.92 0.59],[0.82 0.78],[0.87 0.66]
8,8,0.41,0.82,[0.93 0.6 ],[0.83 0.8 ],[0.87 0.67]
9,9,0.4,0.83,[0.93 0.62],[0.83 0.81],[0.88 0.69]
10,10,0.39,0.83,[0.93 0.64],[0.84 0.82],[0.88 0.7 ]
11,11,0.38,0.84,[0.93 0.64],[0.84 0.82],[0.88 0.71]
12,12,0.37,0.84,[0.94 0.66],[0.85 0.83],[0.89 0.72]
13,13,0.36,0.85,[0.94 0.67],[0.85 0.84],[0.89 0.73]
14,14,0.35,0.86,[0.94 0.69],[0.86 0.85],[0.9  0.75]
15,15,0.34,0.86,[0.94 0.7 ],[0.87 0.85],[0.9  0.76]
16,16,0.33,0.87,[0.94 0.72],[0.87 0.86],[0.91 0.77]
17,17,0.32,0.88,[0.95 0.74],[0.88 0.87],[0.91 0.79]
18,18,0.31,0.88,[0.95 0.75],[0.89 0.88],[0.92 0.8 ]
19,19,0.3,0.89,[0.95 0.77],[0.89 0.89],[0.92 0.82]
20,20,0.29,0.9,[0.95 0.78],[0.9  0.89],[0.92 0.82]
21,21,0.28,0.9,[0.96 0.79],[0.9 0.9],[0.93 0.83]
22,22,0.27,0.91,[0.96 0.8 ],[0.91 0.92],[0.94 0.85]
23,23,0.26,0.92,[0.96 0.82],[0.92 0.92],[0.94 0.86]
24,24,0.25,0.92,[0.97 0.83],[0.92 0.93],[0.94 0.87]
25,25,0.24,0.93,[0.97 0.85],[0.93 0.93],[0.95 0.88]
26,26,0.23,0.94,[0.97 0.86],[0.93 0.94],[0.95 0.89]
27,27,0.22,0.94,[0.97 0.87],[0.94 0.94],[0.95 0.9 ]
28,28,0.21,0.94,[0.98 0.88],[0.94 0.95],[0.96 0.91]
29,29,0.21,0.95,[0.98 0.89],[0.95 0.95],[0.96 0.92]
30,30,0.2,0.95,[0.98 0.9 ],[0.95 0.96],[0.97 0.92]
