,epoch,loss,accuracy,recall,precision,f1
0,0,0.52,0.75,[0.91 0.42],[0.77 0.59],[0.83 0.47]
1,1,0.45,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.62]
2,2,0.43,0.8,[0.9 0.6],[0.82 0.76],[0.86 0.66]
3,3,0.41,0.82,[0.91 0.64],[0.84 0.77],[0.87 0.68]
4,4,0.38,0.83,[0.91 0.67],[0.85 0.79],[0.88 0.72]
5,5,0.34,0.85,[0.92 0.72],[0.87 0.82],[0.89 0.75]
6,6,0.3,0.88,[0.93 0.76],[0.89 0.85],[0.91 0.79]
7,7,0.26,0.9,[0.95 0.81],[0.91 0.88],[0.93 0.83]
8,8,0.22,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
9,9,0.19,0.93,[0.96 0.87],[0.94 0.92],[0.95 0.89]
10,10,0.16,0.95,[0.97 0.9 ],[0.95 0.94],[0.96 0.91]
11,11,0.14,0.96,[0.98 0.92],[0.96 0.95],[0.97 0.93]
12,12,0.12,0.96,[0.98 0.94],[0.97 0.96],[0.97 0.94]
13,13,0.09,0.98,[0.99 0.96],[0.98 0.97],[0.98 0.96]
14,14,0.06,0.99,[0.99 0.97],[0.99 0.98],[0.99 0.98]
15,15,0.05,0.99,[1.   0.97],[0.99 0.99],[0.99 0.98]
16,16,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.98]
17,17,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.99]
18,18,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.99]
19,19,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.99]
20,20,0.03,0.99,[1.   0.99],[0.99 0.99],[0.99 0.99]
21,21,0.02,0.99,[1.   0.99],[0.99 1.  ],[1.   0.99]
