,epoch,loss,accuracy,recall,precision,f1
0,0,0.61,0.69,[0.98 0.09],[0.69 0.29],[0.81 0.13]
1,1,0.5,0.76,[0.9  0.48],[0.78 0.7 ],[0.84 0.56]
2,2,0.47,0.78,[0.91 0.54],[0.8  0.73],[0.85 0.61]
3,3,0.45,0.79,[0.91 0.57],[0.81 0.75],[0.85 0.64]
4,4,0.44,0.8,[0.9  0.58],[0.82 0.75],[0.86 0.65]
5,5,0.43,0.81,[0.91 0.6 ],[0.82 0.76],[0.86 0.66]
6,6,0.42,0.81,[0.91 0.61],[0.83 0.76],[0.86 0.67]
7,7,0.41,0.81,[0.91 0.62],[0.83 0.77],[0.87 0.68]
8,8,0.4,0.82,[0.91 0.64],[0.84 0.78],[0.87 0.7 ]
9,9,0.39,0.83,[0.91 0.66],[0.85 0.79],[0.88 0.71]
10,10,0.38,0.84,[0.91 0.68],[0.85 0.79],[0.88 0.73]
11,11,0.37,0.84,[0.91 0.69],[0.86 0.8 ],[0.89 0.74]
12,12,0.36,0.85,[0.92 0.71],[0.87 0.8 ],[0.89 0.75]
13,13,0.35,0.85,[0.92 0.72],[0.87 0.81],[0.89 0.76]
14,14,0.34,0.86,[0.92 0.74],[0.88 0.82],[0.9  0.77]
15,15,0.32,0.87,[0.92 0.75],[0.89 0.83],[0.9  0.79]
16,16,0.31,0.88,[0.93 0.77],[0.89 0.84],[0.91 0.8 ]
17,17,0.3,0.88,[0.93 0.78],[0.9  0.85],[0.91 0.81]
18,18,0.3,0.88,[0.93 0.78],[0.9  0.85],[0.91 0.81]
19,19,0.29,0.88,[0.93 0.78],[0.9  0.85],[0.91 0.81]
20,20,0.28,0.89,[0.94 0.8 ],[0.91 0.86],[0.92 0.83]
21,21,0.27,0.89,[0.94 0.8 ],[0.91 0.87],[0.92 0.83]
22,22,0.26,0.9,[0.94 0.82],[0.91 0.88],[0.93 0.84]
