,epoch,loss,accuracy,recall,precision,f1
0,0,0.57,0.68,[0.87 0.34],[0.7  0.37],[0.76 0.32]
1,1,0.49,0.77,[0.88 0.54],[0.8  0.69],[0.83 0.59]
2,2,0.47,0.78,[0.88 0.55],[0.8 0.7],[0.84 0.6 ]
3,3,0.46,0.78,[0.89 0.56],[0.81 0.71],[0.84 0.61]
4,4,0.45,0.79,[0.9  0.57],[0.81 0.72],[0.85 0.62]
5,5,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.63]
6,6,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.85 0.64]
7,7,0.43,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
8,8,0.42,0.81,[0.9  0.61],[0.83 0.76],[0.86 0.66]
9,9,0.41,0.82,[0.91 0.63],[0.84 0.78],[0.87 0.68]
10,10,0.4,0.82,[0.91 0.64],[0.84 0.78],[0.87 0.69]
11,11,0.39,0.83,[0.91 0.66],[0.85 0.79],[0.88 0.71]
12,12,0.38,0.84,[0.92 0.67],[0.85 0.8 ],[0.88 0.72]
13,13,0.37,0.84,[0.92 0.69],[0.86 0.8 ],[0.88 0.73]
14,14,0.36,0.85,[0.92 0.7 ],[0.86 0.81],[0.89 0.74]
