,epoch,loss,accuracy,recall,precision,f1
0,0,0.55,0.72,[0.92 0.31],[0.74 0.49],[0.82 0.36]
1,1,0.47,0.78,[0.89 0.57],[0.81 0.71],[0.84 0.63]
2,2,0.44,0.8,[0.89 0.6 ],[0.82 0.73],[0.85 0.65]
3,3,0.43,0.8,[0.9  0.62],[0.83 0.75],[0.86 0.67]
4,4,0.41,0.81,[0.9  0.64],[0.84 0.76],[0.86 0.69]
5,5,0.39,0.82,[0.9  0.67],[0.85 0.76],[0.87 0.71]
6,6,0.36,0.84,[0.9  0.71],[0.86 0.78],[0.88 0.74]
7,7,0.33,0.85,[0.91 0.75],[0.88 0.8 ],[0.89 0.77]
8,8,0.3,0.87,[0.91 0.78],[0.89 0.82],[0.9  0.79]
9,9,0.28,0.88,[0.92 0.81],[0.91 0.84],[0.91 0.82]
10,10,0.22,0.91,[0.94 0.86],[0.93 0.87],[0.93 0.86]
11,11,0.19,0.92,[0.94 0.88],[0.94 0.89],[0.94 0.88]
12,12,0.16,0.94,[0.95 0.9 ],[0.95 0.91],[0.95 0.9 ]
13,13,0.13,0.95,[0.96 0.93],[0.97 0.93],[0.96 0.93]
14,14,0.11,0.96,[0.97 0.93],[0.97 0.94],[0.97 0.94]
15,15,0.1,0.96,[0.97 0.94],[0.97 0.94],[0.97 0.94]
16,16,0.1,0.97,[0.97 0.95],[0.98 0.95],[0.97 0.95]
17,17,0.08,0.97,[0.98 0.96],[0.98 0.95],[0.98 0.95]
18,18,0.08,0.97,[0.98 0.96],[0.98 0.96],[0.98 0.96]
19,19,0.07,0.98,[0.98 0.96],[0.98 0.97],[0.98 0.96]
20,20,0.06,0.98,[0.99 0.97],[0.98 0.97],[0.98 0.97]
21,21,0.05,0.98,[0.99 0.97],[0.99 0.98],[0.99 0.97]
22,22,0.04,0.99,[0.99 0.97],[0.99 0.98],[0.99 0.98]
