,epoch,loss,accuracy,recall,precision,f1
0,0,0.61,0.69,[0.97 0.11],[0.7  0.26],[0.81 0.14]
1,1,0.49,0.77,[0.9  0.49],[0.78 0.71],[0.84 0.57]
2,2,0.46,0.78,[0.9  0.55],[0.8  0.73],[0.85 0.62]
3,3,0.45,0.79,[0.9  0.57],[0.81 0.74],[0.85 0.64]
4,4,0.44,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.65]
5,5,0.43,0.81,[0.91 0.61],[0.82 0.76],[0.86 0.67]
6,6,0.42,0.81,[0.91 0.62],[0.83 0.76],[0.87 0.68]
7,7,0.41,0.82,[0.91 0.64],[0.84 0.77],[0.87 0.69]
8,8,0.4,0.82,[0.91 0.65],[0.84 0.78],[0.87 0.7 ]
9,9,0.39,0.83,[0.91 0.67],[0.85 0.78],[0.88 0.72]
10,10,0.37,0.84,[0.91 0.68],[0.86 0.79],[0.88 0.73]
11,11,0.36,0.84,[0.91 0.7 ],[0.86 0.8 ],[0.89 0.74]
12,12,0.35,0.85,[0.92 0.72],[0.87 0.81],[0.89 0.75]
13,13,0.33,0.86,[0.92 0.74],[0.88 0.82],[0.9  0.77]
14,14,0.32,0.87,[0.92 0.76],[0.89 0.83],[0.9  0.79]
15,15,0.3,0.88,[0.93 0.77],[0.89 0.84],[0.91 0.8 ]
16,16,0.29,0.88,[0.93 0.78],[0.9  0.84],[0.91 0.81]
17,17,0.29,0.89,[0.93 0.79],[0.9  0.85],[0.92 0.81]
18,18,0.27,0.89,[0.94 0.81],[0.91 0.86],[0.92 0.83]
19,19,0.26,0.9,[0.94 0.82],[0.91 0.87],[0.92 0.84]
20,20,0.25,0.9,[0.94 0.83],[0.92 0.88],[0.93 0.85]
21,21,0.23,0.91,[0.94 0.84],[0.93 0.88],[0.93 0.86]
22,22,0.23,0.91,[0.94 0.85],[0.93 0.88],[0.93 0.86]
