,epoch,loss,accuracy,recall,precision,f1
0,0,0.6,0.66,[0.92 0.13],[0.65 0.17],[0.75 0.12]
1,1,0.51,0.75,[0.86 0.53],[0.79 0.65],[0.82 0.57]
2,2,0.49,0.77,[0.86 0.57],[0.81 0.67],[0.83 0.6 ]
3,3,0.47,0.77,[0.88 0.56],[0.8  0.69],[0.84 0.6 ]
4,4,0.47,0.78,[0.88 0.56],[0.81 0.7 ],[0.84 0.61]
5,5,0.46,0.78,[0.89 0.57],[0.81 0.71],[0.84 0.61]
6,6,0.46,0.78,[0.89 0.57],[0.81 0.71],[0.84 0.62]
7,7,0.45,0.79,[0.89 0.57],[0.81 0.72],[0.85 0.62]
8,8,0.45,0.79,[0.89 0.58],[0.81 0.72],[0.85 0.62]
9,9,0.45,0.79,[0.89 0.58],[0.81 0.72],[0.85 0.63]
