,epoch,loss,accuracy,recall,precision,f1
0,0,0.62,0.68,[0.99 0.04],[0.68 0.23],[0.8  0.06]
1,1,0.57,0.72,[0.97 0.21],[0.72 0.7 ],[0.82 0.3 ]
2,2,0.53,0.75,[0.95 0.36],[0.75 0.76],[0.84 0.47]
3,3,0.5,0.78,[0.94 0.45],[0.78 0.77],[0.85 0.55]
4,4,0.47,0.79,[0.93 0.5 ],[0.79 0.76],[0.85 0.59]
5,5,0.45,0.8,[0.92 0.54],[0.8  0.77],[0.86 0.62]
6,6,0.44,0.81,[0.92 0.57],[0.81 0.78],[0.86 0.64]
7,7,0.42,0.81,[0.92 0.59],[0.82 0.79],[0.87 0.66]
8,8,0.41,0.82,[0.93 0.61],[0.83 0.8 ],[0.87 0.68]
9,9,0.4,0.83,[0.93 0.63],[0.84 0.8 ],[0.88 0.69]
10,10,0.39,0.84,[0.93 0.64],[0.84 0.82],[0.88 0.7 ]
11,11,0.38,0.84,[0.93 0.65],[0.85 0.82],[0.89 0.71]
12,12,0.37,0.85,[0.94 0.67],[0.85 0.83],[0.89 0.73]
13,13,0.36,0.86,[0.94 0.68],[0.86 0.85],[0.9  0.74]
14,14,0.34,0.86,[0.94 0.7 ],[0.86 0.85],[0.9  0.76]
15,15,0.33,0.87,[0.94 0.71],[0.87 0.86],[0.9  0.77]
16,16,0.32,0.88,[0.95 0.73],[0.88 0.87],[0.91 0.78]
17,17,0.31,0.88,[0.95 0.75],[0.88 0.88],[0.91 0.8 ]
18,18,0.3,0.89,[0.95 0.76],[0.89 0.88],[0.92 0.81]
19,19,0.29,0.9,[0.96 0.78],[0.9  0.89],[0.92 0.82]
20,20,0.28,0.9,[0.96 0.79],[0.9 0.9],[0.93 0.83]
21,21,0.27,0.91,[0.96 0.8 ],[0.91 0.91],[0.93 0.84]
22,22,0.26,0.92,[0.96 0.82],[0.92 0.92],[0.94 0.86]
23,23,0.25,0.92,[0.97 0.83],[0.92 0.92],[0.94 0.87]
24,24,0.24,0.93,[0.97 0.84],[0.93 0.93],[0.95 0.88]
25,25,0.23,0.93,[0.97 0.86],[0.93 0.94],[0.95 0.89]
26,26,0.22,0.94,[0.97 0.86],[0.94 0.94],[0.95 0.9 ]
27,27,0.22,0.95,[0.98 0.88],[0.94 0.95],[0.96 0.91]
28,28,0.21,0.95,[0.98 0.89],[0.95 0.95],[0.96 0.91]
29,29,0.2,0.95,[0.98 0.9 ],[0.95 0.96],[0.97 0.92]
30,30,0.19,0.96,[0.98 0.91],[0.96 0.96],[0.97 0.93]
31,31,0.18,0.96,[0.98 0.91],[0.96 0.96],[0.97 0.93]
