,epoch,loss,accuracy,recall,precision,f1
0,0,0.58,0.69,[0.91 0.26],[0.7  0.36],[0.78 0.27]
1,1,0.49,0.76,[0.87 0.54],[0.8  0.67],[0.83 0.58]
2,2,0.48,0.77,[0.88 0.55],[0.8 0.7],[0.84 0.6 ]
3,3,0.47,0.78,[0.88 0.56],[0.81 0.7 ],[0.84 0.6 ]
4,4,0.46,0.78,[0.89 0.57],[0.81 0.71],[0.84 0.61]
5,5,0.46,0.78,[0.89 0.58],[0.81 0.71],[0.84 0.62]
6,6,0.45,0.79,[0.89 0.58],[0.81 0.72],[0.85 0.63]
7,7,0.44,0.79,[0.89 0.59],[0.82 0.73],[0.85 0.64]
8,8,0.44,0.8,[0.9 0.6],[0.82 0.74],[0.85 0.65]
9,9,0.43,0.81,[0.9  0.62],[0.83 0.75],[0.86 0.66]
10,10,0.41,0.81,[0.9  0.63],[0.83 0.76],[0.86 0.67]
11,11,0.4,0.82,[0.91 0.65],[0.84 0.77],[0.87 0.69]
