,epoch,loss,accuracy,recall,precision,f1
0,0,0.57,0.7,[0.93 0.26],[0.73 0.34],[0.81 0.28]
1,1,0.49,0.77,[0.88 0.54],[0.8  0.69],[0.83 0.59]
2,2,0.47,0.78,[0.88 0.56],[0.8 0.7],[0.84 0.61]
3,3,0.46,0.78,[0.89 0.56],[0.81 0.72],[0.85 0.62]
4,4,0.45,0.79,[0.9  0.58],[0.81 0.73],[0.85 0.63]
5,5,0.44,0.8,[0.9 0.6],[0.82 0.74],[0.86 0.65]
6,6,0.43,0.81,[0.9  0.61],[0.83 0.75],[0.86 0.66]
7,7,0.41,0.82,[0.91 0.64],[0.84 0.77],[0.87 0.69]
8,8,0.4,0.83,[0.91 0.65],[0.84 0.78],[0.88 0.7 ]
9,9,0.37,0.84,[0.91 0.69],[0.86 0.8 ],[0.88 0.73]
10,10,0.35,0.85,[0.92 0.72],[0.87 0.81],[0.89 0.75]
11,11,0.34,0.86,[0.92 0.72],[0.87 0.82],[0.9  0.76]
12,12,0.32,0.87,[0.93 0.75],[0.88 0.84],[0.9  0.78]
13,13,0.3,0.88,[0.93 0.77],[0.89 0.85],[0.91 0.8 ]
14,14,0.29,0.88,[0.93 0.77],[0.89 0.85],[0.91 0.8 ]
15,15,0.27,0.89,[0.94 0.8 ],[0.9  0.87],[0.92 0.82]
16,16,0.26,0.9,[0.94 0.8 ],[0.91 0.87],[0.92 0.83]
17,17,0.25,0.9,[0.94 0.82],[0.91 0.88],[0.93 0.84]
18,18,0.23,0.91,[0.95 0.83],[0.92 0.88],[0.93 0.85]
19,19,0.21,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
20,20,0.21,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
21,21,0.19,0.93,[0.96 0.86],[0.94 0.91],[0.95 0.88]
