,epoch,loss,accuracy,recall,precision,f1
0,0,0.67,0.63,[0.9 0.1],[0.62 0.05],[0.72 0.05]
1,1,0.63,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
2,2,0.59,0.68,[0.99 0.05],[0.68 0.39],[0.8  0.09]
3,3,0.55,0.72,[0.92 0.29],[0.73 0.64],[0.81 0.39]
4,4,0.53,0.74,[0.89 0.44],[0.76 0.65],[0.82 0.52]
5,5,0.51,0.75,[0.88 0.49],[0.78 0.66],[0.82 0.55]
6,6,0.51,0.76,[0.88 0.52],[0.79 0.67],[0.83 0.58]
7,7,0.5,0.76,[0.87 0.53],[0.79 0.67],[0.83 0.59]
8,8,0.49,0.76,[0.87 0.54],[0.8  0.67],[0.83 0.6 ]
9,9,0.49,0.77,[0.88 0.56],[0.8  0.69],[0.84 0.61]
10,10,0.48,0.77,[0.88 0.56],[0.8  0.69],[0.84 0.61]
11,11,0.48,0.77,[0.88 0.56],[0.8  0.69],[0.84 0.61]
12,12,0.48,0.77,[0.88 0.56],[0.8  0.69],[0.84 0.61]
13,13,0.47,0.77,[0.88 0.55],[0.8  0.69],[0.84 0.61]
14,14,0.47,0.78,[0.88 0.56],[0.8 0.7],[0.84 0.62]
15,15,0.47,0.78,[0.88 0.57],[0.81 0.7 ],[0.84 0.62]
16,16,0.47,0.78,[0.89 0.57],[0.81 0.7 ],[0.84 0.63]
17,17,0.47,0.78,[0.89 0.57],[0.81 0.71],[0.84 0.62]
18,18,0.46,0.78,[0.89 0.57],[0.81 0.71],[0.84 0.63]
19,19,0.46,0.78,[0.88 0.58],[0.81 0.7 ],[0.85 0.63]
20,20,0.46,0.78,[0.89 0.57],[0.81 0.71],[0.85 0.63]
21,21,0.46,0.79,[0.89 0.58],[0.81 0.71],[0.85 0.64]
22,22,0.46,0.78,[0.88 0.58],[0.81 0.71],[0.85 0.63]
23,23,0.46,0.79,[0.89 0.59],[0.81 0.71],[0.85 0.64]
24,24,0.45,0.79,[0.89 0.59],[0.82 0.72],[0.85 0.64]
25,25,0.45,0.79,[0.89 0.58],[0.82 0.72],[0.85 0.64]
26,26,0.45,0.79,[0.89 0.59],[0.82 0.72],[0.85 0.65]
27,27,0.45,0.8,[0.89 0.6 ],[0.82 0.73],[0.85 0.65]
28,28,0.45,0.79,[0.89 0.6 ],[0.82 0.72],[0.85 0.65]
29,29,0.45,0.8,[0.89 0.59],[0.82 0.73],[0.85 0.65]
30,30,0.44,0.8,[0.89 0.6 ],[0.82 0.73],[0.85 0.65]
31,31,0.45,0.8,[0.89 0.61],[0.82 0.72],[0.85 0.65]
32,32,0.44,0.8,[0.9 0.6],[0.82 0.73],[0.86 0.66]
