,epoch,loss,accuracy,recall,precision,f1
0,0,0.63,0.65,[0.93 0.12],[0.64 0.21],[0.75 0.11]
1,1,0.52,0.75,[0.88 0.49],[0.78 0.66],[0.82 0.55]
2,2,0.47,0.78,[0.87 0.6 ],[0.82 0.7 ],[0.84 0.64]
3,3,0.45,0.8,[0.89 0.61],[0.83 0.73],[0.85 0.66]
4,4,0.43,0.81,[0.89 0.64],[0.83 0.74],[0.86 0.68]
5,5,0.42,0.81,[0.89 0.65],[0.84 0.75],[0.86 0.69]
6,6,0.4,0.82,[0.9  0.67],[0.85 0.76],[0.87 0.71]
7,7,0.39,0.83,[0.89 0.69],[0.86 0.76],[0.87 0.72]
8,8,0.37,0.84,[0.9  0.72],[0.87 0.78],[0.88 0.74]
9,9,0.35,0.85,[0.9  0.75],[0.88 0.79],[0.89 0.76]
10,10,0.34,0.86,[0.91 0.77],[0.89 0.81],[0.9  0.78]
11,11,0.31,0.88,[0.91 0.8 ],[0.9  0.82],[0.91 0.81]
12,12,0.29,0.89,[0.92 0.83],[0.92 0.84],[0.92 0.83]
13,13,0.28,0.89,[0.92 0.83],[0.92 0.84],[0.92 0.83]
14,14,0.26,0.9,[0.92 0.85],[0.93 0.85],[0.92 0.84]
15,15,0.24,0.91,[0.93 0.87],[0.94 0.87],[0.93 0.87]
16,16,0.23,0.91,[0.93 0.88],[0.94 0.87],[0.93 0.87]
17,17,0.22,0.92,[0.94 0.9 ],[0.95 0.88],[0.94 0.88]
18,18,0.19,0.94,[0.95 0.92],[0.96 0.9 ],[0.95 0.9 ]
19,19,0.17,0.94,[0.95 0.93],[0.96 0.9 ],[0.96 0.91]
20,20,0.16,0.95,[0.96 0.93],[0.97 0.92],[0.96 0.92]
21,21,0.15,0.95,[0.96 0.93],[0.97 0.92],[0.96 0.92]
22,22,0.15,0.95,[0.96 0.93],[0.97 0.92],[0.96 0.92]
