,epoch,loss,accuracy,recall,precision,f1
0,0,0.54,0.74,[0.92 0.38],[0.76 0.57],[0.83 0.44]
1,1,0.47,0.79,[0.91 0.54],[0.8  0.74],[0.85 0.61]
2,2,0.44,0.8,[0.9  0.58],[0.82 0.75],[0.86 0.65]
3,3,0.42,0.81,[0.91 0.61],[0.83 0.76],[0.86 0.67]
4,4,0.4,0.82,[0.91 0.63],[0.84 0.77],[0.87 0.68]
5,5,0.38,0.83,[0.91 0.67],[0.85 0.79],[0.88 0.71]
6,6,0.35,0.85,[0.92 0.71],[0.87 0.8 ],[0.89 0.75]
7,7,0.31,0.87,[0.93 0.75],[0.89 0.83],[0.9  0.78]
8,8,0.28,0.89,[0.94 0.79],[0.9  0.86],[0.92 0.82]
9,9,0.24,0.91,[0.95 0.84],[0.92 0.89],[0.93 0.86]
10,10,0.2,0.93,[0.96 0.87],[0.94 0.91],[0.95 0.89]
11,11,0.17,0.94,[0.97 0.89],[0.95 0.93],[0.96 0.91]
12,12,0.16,0.95,[0.96 0.91],[0.96 0.93],[0.96 0.91]
13,13,0.15,0.95,[0.97 0.91],[0.96 0.94],[0.96 0.92]
14,14,0.12,0.96,[0.98 0.93],[0.97 0.95],[0.97 0.94]
15,15,0.1,0.97,[0.98 0.94],[0.97 0.96],[0.98 0.95]
16,16,0.09,0.97,[0.98 0.95],[0.98 0.96],[0.98 0.95]
17,17,0.09,0.97,[0.98 0.95],[0.98 0.97],[0.98 0.96]
18,18,0.07,0.98,[0.99 0.97],[0.98 0.97],[0.99 0.97]
19,19,0.06,0.99,[0.99 0.97],[0.99 0.98],[0.99 0.98]
20,20,0.05,0.99,[1.   0.98],[0.99 0.99],[0.99 0.98]
21,21,0.04,0.99,[1.   0.98],[0.99 0.99],[0.99 0.99]
22,22,0.03,0.99,[1.   0.99],[0.99 0.99],[0.99 0.99]
