,epoch,loss,accuracy,recall,precision,f1
0,0,0.48,0.77,[0.9  0.49],[0.79 0.63],[0.84 0.53]
1,1,0.35,0.85,[0.91 0.73],[0.88 0.81],[0.89 0.75]
2,2,0.23,0.91,[0.94 0.86],[0.93 0.87],[0.93 0.86]
3,3,0.12,0.96,[0.97 0.94],[0.97 0.94],[0.97 0.94]
4,4,0.08,0.97,[0.98 0.96],[0.98 0.96],[0.98 0.96]
5,5,0.05,0.98,[0.98 0.98],[0.99 0.97],[0.99 0.97]
6,6,0.04,0.99,[0.99 0.99],[0.99 0.98],[0.99 0.98]
7,7,0.03,0.99,[0.99 0.98],[0.99 0.98],[0.99 0.98]
8,8,0.02,0.99,[0.99 0.99],[0.99 0.99],[0.99 0.99]
9,9,0.03,0.99,[0.99 0.99],[0.99 0.98],[0.99 0.98]
