,epoch,loss,accuracy,recall,precision,f1
0,0,0.61,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
1,1,0.52,0.74,[0.89 0.43],[0.77 0.6 ],[0.82 0.47]
2,2,0.49,0.76,[0.87 0.56],[0.8  0.67],[0.83 0.6 ]
3,3,0.48,0.77,[0.88 0.56],[0.8  0.69],[0.84 0.61]
4,4,0.47,0.78,[0.88 0.57],[0.81 0.7 ],[0.84 0.62]
5,5,0.46,0.78,[0.88 0.57],[0.81 0.7 ],[0.84 0.63]
6,6,0.45,0.79,[0.88 0.59],[0.82 0.71],[0.85 0.64]
7,7,0.45,0.79,[0.89 0.59],[0.82 0.72],[0.85 0.64]
8,8,0.44,0.8,[0.89 0.61],[0.82 0.73],[0.86 0.66]
9,9,0.43,0.8,[0.89 0.62],[0.83 0.74],[0.86 0.67]
10,10,0.42,0.81,[0.89 0.63],[0.83 0.74],[0.86 0.68]
11,11,0.41,0.81,[0.89 0.65],[0.84 0.75],[0.87 0.69]
12,12,0.4,0.82,[0.9  0.66],[0.84 0.76],[0.87 0.7 ]
13,13,0.39,0.83,[0.9  0.67],[0.85 0.77],[0.87 0.71]
14,14,0.39,0.83,[0.9  0.68],[0.85 0.78],[0.88 0.72]
15,15,0.38,0.84,[0.91 0.7 ],[0.86 0.79],[0.88 0.74]
16,16,0.37,0.84,[0.9  0.71],[0.86 0.78],[0.88 0.74]
17,17,0.36,0.85,[0.91 0.72],[0.87 0.8 ],[0.89 0.76]
18,18,0.35,0.86,[0.91 0.74],[0.88 0.81],[0.89 0.77]
19,19,0.34,0.86,[0.92 0.74],[0.88 0.81],[0.9  0.77]
20,20,0.33,0.86,[0.92 0.75],[0.88 0.82],[0.9  0.78]
21,21,0.32,0.87,[0.92 0.77],[0.89 0.83],[0.91 0.79]
22,22,0.31,0.88,[0.93 0.78],[0.9  0.84],[0.91 0.8 ]
23,23,0.3,0.88,[0.93 0.78],[0.9  0.84],[0.91 0.81]
