,epoch,loss,accuracy,recall,precision,f1
0,0,0.62,0.68,[0.99 0.04],[0.68 0.14],[0.8  0.06]
1,1,0.51,0.75,[0.9  0.44],[0.77 0.69],[0.83 0.53]
2,2,0.48,0.78,[0.9  0.52],[0.79 0.72],[0.84 0.6 ]
3,3,0.46,0.79,[0.9  0.56],[0.81 0.74],[0.85 0.63]
4,4,0.45,0.8,[0.9  0.58],[0.81 0.75],[0.86 0.64]
5,5,0.44,0.8,[0.91 0.58],[0.82 0.76],[0.86 0.65]
6,6,0.43,0.8,[0.91 0.59],[0.82 0.76],[0.86 0.66]
7,7,0.43,0.81,[0.91 0.61],[0.83 0.76],[0.86 0.67]
8,8,0.42,0.81,[0.91 0.62],[0.83 0.77],[0.87 0.68]
9,9,0.41,0.82,[0.91 0.63],[0.83 0.77],[0.87 0.69]
10,10,0.4,0.82,[0.91 0.64],[0.84 0.78],[0.87 0.7 ]
11,11,0.4,0.83,[0.91 0.65],[0.84 0.79],[0.88 0.71]
12,12,0.39,0.83,[0.91 0.67],[0.85 0.79],[0.88 0.72]
13,13,0.38,0.83,[0.91 0.68],[0.85 0.79],[0.88 0.72]
14,14,0.37,0.84,[0.91 0.69],[0.86 0.8 ],[0.88 0.73]
15,15,0.37,0.84,[0.91 0.7 ],[0.86 0.8 ],[0.89 0.74]
16,16,0.36,0.85,[0.92 0.71],[0.87 0.81],[0.89 0.75]
17,17,0.35,0.85,[0.92 0.72],[0.87 0.82],[0.89 0.76]
18,18,0.34,0.86,[0.92 0.73],[0.87 0.82],[0.9  0.77]
19,19,0.33,0.86,[0.92 0.74],[0.88 0.83],[0.9  0.78]
20,20,0.32,0.87,[0.93 0.75],[0.88 0.83],[0.9  0.78]
21,21,0.31,0.87,[0.93 0.76],[0.89 0.84],[0.91 0.79]
22,22,0.3,0.88,[0.93 0.77],[0.89 0.85],[0.91 0.8 ]
23,23,0.29,0.88,[0.93 0.78],[0.9  0.86],[0.91 0.81]
