,epoch,loss,accuracy,recall,precision,f1
0,0,0.6,0.69,[0.94 0.18],[0.69 0.33],[0.79 0.21]
1,1,0.49,0.77,[0.88 0.54],[0.8  0.69],[0.83 0.6 ]
2,2,0.45,0.79,[0.89 0.6 ],[0.82 0.73],[0.85 0.65]
3,3,0.44,0.8,[0.89 0.62],[0.83 0.74],[0.86 0.67]
4,4,0.42,0.81,[0.9  0.63],[0.83 0.75],[0.86 0.68]
5,5,0.4,0.82,[0.9  0.66],[0.84 0.76],[0.87 0.7 ]
6,6,0.39,0.83,[0.9  0.69],[0.85 0.77],[0.88 0.72]
7,7,0.36,0.84,[0.9  0.71],[0.87 0.78],[0.88 0.74]
8,8,0.34,0.85,[0.91 0.75],[0.88 0.8 ],[0.89 0.77]
9,9,0.32,0.87,[0.91 0.78],[0.9  0.81],[0.9  0.79]
10,10,0.29,0.88,[0.92 0.81],[0.91 0.83],[0.91 0.81]
11,11,0.25,0.9,[0.93 0.84],[0.92 0.85],[0.92 0.84]
12,12,0.22,0.92,[0.94 0.87],[0.94 0.87],[0.94 0.87]
13,13,0.21,0.92,[0.94 0.87],[0.94 0.88],[0.94 0.87]
14,14,0.21,0.92,[0.94 0.88],[0.94 0.89],[0.94 0.88]
15,15,0.18,0.93,[0.95 0.9 ],[0.95 0.9 ],[0.95 0.9 ]
16,16,0.16,0.94,[0.96 0.91],[0.96 0.91],[0.96 0.91]
17,17,0.15,0.95,[0.96 0.92],[0.96 0.92],[0.96 0.92]
18,18,0.14,0.95,[0.96 0.93],[0.97 0.93],[0.96 0.92]
19,19,0.13,0.95,[0.96 0.93],[0.97 0.93],[0.96 0.93]
20,20,0.11,0.96,[0.97 0.94],[0.97 0.94],[0.97 0.94]
21,21,0.11,0.96,[0.97 0.94],[0.97 0.94],[0.97 0.94]
22,22,0.1,0.97,[0.97 0.95],[0.98 0.95],[0.97 0.95]
