,epoch,loss,accuracy,recall,precision,f1
0,0,0.63,0.66,[0.97 0.04],[0.66 0.15],[0.79 0.04]
1,1,0.51,0.76,[0.9  0.47],[0.78 0.69],[0.83 0.55]
2,2,0.47,0.79,[0.9  0.55],[0.81 0.73],[0.85 0.62]
3,3,0.45,0.8,[0.9  0.58],[0.82 0.74],[0.86 0.65]
4,4,0.43,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.66]
5,5,0.42,0.81,[0.91 0.61],[0.83 0.76],[0.86 0.67]
6,6,0.41,0.82,[0.91 0.63],[0.83 0.77],[0.87 0.69]
7,7,0.4,0.82,[0.91 0.65],[0.84 0.78],[0.87 0.7 ]
8,8,0.39,0.83,[0.91 0.66],[0.85 0.78],[0.88 0.72]
9,9,0.38,0.84,[0.92 0.68],[0.86 0.8 ],[0.88 0.73]
10,10,0.36,0.85,[0.92 0.7 ],[0.86 0.81],[0.89 0.75]
11,11,0.35,0.86,[0.92 0.72],[0.87 0.82],[0.9  0.76]
12,12,0.33,0.87,[0.93 0.74],[0.88 0.83],[0.9  0.78]
13,13,0.31,0.88,[0.93 0.76],[0.89 0.85],[0.91 0.8 ]
14,14,0.3,0.89,[0.94 0.78],[0.9  0.86],[0.92 0.82]
15,15,0.28,0.9,[0.94 0.8 ],[0.91 0.87],[0.92 0.83]
16,16,0.26,0.9,[0.95 0.82],[0.91 0.88],[0.93 0.85]
17,17,0.26,0.9,[0.94 0.82],[0.91 0.88],[0.93 0.84]
18,18,0.25,0.9,[0.94 0.82],[0.92 0.88],[0.93 0.84]
19,19,0.23,0.91,[0.95 0.83],[0.92 0.89],[0.94 0.86]
20,20,0.22,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
21,21,0.22,0.92,[0.95 0.86],[0.93 0.9 ],[0.94 0.87]
22,22,0.2,0.93,[0.96 0.86],[0.94 0.92],[0.95 0.89]
23,23,0.17,0.94,[0.97 0.89],[0.95 0.94],[0.96 0.91]
