,epoch,loss,accuracy,recall,precision,f1
0,0,0.55,0.72,[0.88 0.41],[0.75 0.47],[0.8  0.42]
1,1,0.48,0.77,[0.88 0.54],[0.8 0.7],[0.83 0.59]
2,2,0.47,0.78,[0.89 0.56],[0.81 0.72],[0.84 0.61]
3,3,0.46,0.79,[0.89 0.57],[0.81 0.72],[0.85 0.62]
4,4,0.45,0.8,[0.9  0.59],[0.82 0.74],[0.85 0.64]
5,5,0.44,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
6,6,0.42,0.81,[0.91 0.62],[0.83 0.77],[0.87 0.67]
7,7,0.41,0.82,[0.92 0.63],[0.84 0.79],[0.87 0.69]
8,8,0.4,0.83,[0.92 0.65],[0.85 0.8 ],[0.88 0.7 ]
9,9,0.39,0.84,[0.93 0.65],[0.85 0.82],[0.88 0.71]
10,10,0.38,0.84,[0.93 0.67],[0.85 0.83],[0.89 0.72]
11,11,0.36,0.85,[0.93 0.68],[0.86 0.84],[0.89 0.73]
12,12,0.35,0.86,[0.94 0.69],[0.86 0.85],[0.9  0.75]
13,13,0.34,0.86,[0.94 0.7 ],[0.87 0.85],[0.9  0.75]
14,14,0.33,0.87,[0.94 0.72],[0.87 0.86],[0.9  0.77]
15,15,0.32,0.87,[0.94 0.72],[0.88 0.87],[0.91 0.78]
