,epoch,loss,accuracy,recall,precision,f1
0,0,0.67,0.67,[1. 0.],[0.67 0.01],[0.8 0. ]
1,1,0.64,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
2,2,0.62,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
3,3,0.59,0.69,[0.99 0.06],[0.68 0.39],[0.81 0.1 ]
4,4,0.54,0.73,[0.95 0.28],[0.73 0.7 ],[0.82 0.38]
5,5,0.52,0.74,[0.92 0.39],[0.75 0.69],[0.83 0.48]
6,6,0.51,0.75,[0.91 0.43],[0.77 0.68],[0.83 0.52]
7,7,0.5,0.76,[0.9  0.46],[0.78 0.69],[0.83 0.54]
8,8,0.49,0.76,[0.9  0.49],[0.78 0.69],[0.83 0.56]
9,9,0.49,0.77,[0.89 0.5 ],[0.79 0.7 ],[0.83 0.57]
10,10,0.48,0.77,[0.89 0.51],[0.79 0.7 ],[0.84 0.58]
11,11,0.48,0.77,[0.89 0.52],[0.79 0.71],[0.84 0.59]
12,12,0.48,0.78,[0.89 0.53],[0.8  0.71],[0.84 0.6 ]
13,13,0.47,0.78,[0.89 0.54],[0.8  0.71],[0.84 0.6 ]
14,14,0.47,0.78,[0.9  0.54],[0.8  0.72],[0.84 0.61]
15,15,0.47,0.78,[0.9  0.55],[0.8  0.72],[0.85 0.61]
16,16,0.46,0.79,[0.9  0.55],[0.8  0.72],[0.85 0.62]
17,17,0.46,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.62]
18,18,0.46,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.62]
19,19,0.46,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.63]
20,20,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.63]
21,21,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.63]
22,22,0.45,0.79,[0.9  0.58],[0.81 0.74],[0.85 0.64]
23,23,0.45,0.8,[0.9  0.58],[0.81 0.74],[0.85 0.64]
24,24,0.45,0.8,[0.9  0.58],[0.81 0.74],[0.85 0.64]
25,25,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.85 0.64]
26,26,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
27,27,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
28,28,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
29,29,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
30,30,0.44,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
31,31,0.43,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
32,32,0.43,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
33,33,0.43,0.81,[0.9 0.6],[0.82 0.75],[0.86 0.66]
34,34,0.43,0.81,[0.9 0.6],[0.82 0.75],[0.86 0.66]
35,35,0.43,0.81,[0.9  0.61],[0.82 0.75],[0.86 0.66]
36,36,0.43,0.81,[0.9  0.61],[0.83 0.75],[0.86 0.66]
37,37,0.43,0.81,[0.9  0.61],[0.83 0.75],[0.86 0.66]
38,38,0.42,0.81,[0.9  0.61],[0.83 0.75],[0.86 0.67]
39,39,0.42,0.81,[0.9  0.62],[0.83 0.75],[0.86 0.67]
40,40,0.42,0.81,[0.9  0.62],[0.83 0.76],[0.86 0.67]
41,41,0.42,0.81,[0.9  0.62],[0.83 0.76],[0.86 0.67]
