,epoch,loss,accuracy,recall,precision,f1
0,0,0.68,0.67,[1. 0.],[0.67 0.02],[0.8 0. ]
1,1,0.66,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
2,2,0.64,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
3,3,0.62,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
4,4,0.61,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
5,5,0.6,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
6,6,0.58,0.67,[1.   0.01],[0.67 0.27],[0.8  0.02]
7,7,0.56,0.69,[0.98 0.11],[0.69 0.68],[0.81 0.19]
8,8,0.55,0.71,[0.94 0.25],[0.72 0.66],[0.81 0.35]
9,9,0.54,0.72,[0.91 0.34],[0.74 0.64],[0.82 0.44]
10,10,0.53,0.73,[0.9 0.4],[0.75 0.64],[0.82 0.49]
11,11,0.52,0.74,[0.88 0.44],[0.76 0.64],[0.82 0.52]
12,12,0.52,0.74,[0.88 0.47],[0.77 0.65],[0.82 0.54]
13,13,0.52,0.74,[0.87 0.48],[0.78 0.65],[0.82 0.55]
14,14,0.51,0.75,[0.87 0.51],[0.78 0.66],[0.82 0.57]
15,15,0.51,0.75,[0.87 0.51],[0.78 0.66],[0.82 0.57]
16,16,0.5,0.76,[0.87 0.52],[0.79 0.66],[0.83 0.58]
17,17,0.5,0.75,[0.87 0.53],[0.79 0.66],[0.83 0.58]
18,18,0.5,0.76,[0.87 0.53],[0.79 0.67],[0.83 0.59]
19,19,0.5,0.76,[0.87 0.54],[0.79 0.67],[0.83 0.59]
20,20,0.5,0.76,[0.87 0.55],[0.8  0.67],[0.83 0.6 ]
21,21,0.49,0.76,[0.87 0.55],[0.8  0.67],[0.83 0.6 ]
22,22,0.49,0.76,[0.87 0.55],[0.8  0.67],[0.83 0.6 ]
23,23,0.49,0.77,[0.87 0.55],[0.8  0.67],[0.83 0.6 ]
24,24,0.49,0.77,[0.87 0.56],[0.8  0.68],[0.84 0.61]
25,25,0.49,0.77,[0.87 0.56],[0.8  0.68],[0.83 0.61]
26,26,0.49,0.77,[0.87 0.56],[0.8  0.68],[0.83 0.61]
27,27,0.48,0.77,[0.88 0.57],[0.81 0.69],[0.84 0.62]
28,28,0.48,0.77,[0.87 0.57],[0.8  0.68],[0.84 0.61]
29,29,0.48,0.77,[0.88 0.56],[0.8  0.69],[0.84 0.61]
30,30,0.48,0.77,[0.88 0.57],[0.81 0.69],[0.84 0.62]
31,31,0.48,0.77,[0.87 0.57],[0.81 0.69],[0.84 0.62]
32,32,0.48,0.77,[0.88 0.57],[0.81 0.69],[0.84 0.62]
33,33,0.48,0.78,[0.87 0.58],[0.81 0.68],[0.84 0.62]
34,34,0.47,0.78,[0.88 0.57],[0.81 0.69],[0.84 0.62]
35,35,0.48,0.78,[0.87 0.58],[0.81 0.69],[0.84 0.62]
36,36,0.47,0.78,[0.88 0.57],[0.81 0.69],[0.84 0.62]
37,37,0.47,0.78,[0.87 0.58],[0.81 0.69],[0.84 0.62]
38,38,0.47,0.78,[0.88 0.57],[0.81 0.7 ],[0.84 0.63]
39,39,0.47,0.78,[0.88 0.58],[0.81 0.69],[0.84 0.63]
40,40,0.47,0.78,[0.88 0.58],[0.81 0.69],[0.84 0.63]
41,41,0.47,0.78,[0.88 0.58],[0.81 0.69],[0.84 0.63]
42,42,0.47,0.78,[0.88 0.58],[0.81 0.7 ],[0.84 0.63]
43,43,0.47,0.78,[0.88 0.59],[0.81 0.7 ],[0.84 0.63]
44,44,0.47,0.78,[0.88 0.58],[0.81 0.69],[0.84 0.63]
45,45,0.46,0.78,[0.88 0.59],[0.81 0.7 ],[0.84 0.63]
46,46,0.46,0.78,[0.88 0.59],[0.81 0.7 ],[0.84 0.63]
47,47,0.46,0.78,[0.88 0.59],[0.81 0.7 ],[0.84 0.63]
48,48,0.46,0.78,[0.88 0.59],[0.81 0.7 ],[0.84 0.64]
49,49,0.46,0.78,[0.88 0.59],[0.82 0.7 ],[0.85 0.64]
50,50,0.46,0.78,[0.88 0.59],[0.82 0.7 ],[0.85 0.64]
51,51,0.46,0.78,[0.88 0.59],[0.82 0.7 ],[0.84 0.64]
52,52,0.46,0.79,[0.88 0.59],[0.82 0.7 ],[0.85 0.64]
53,53,0.46,0.79,[0.88 0.59],[0.82 0.7 ],[0.85 0.64]
54,54,0.46,0.79,[0.88 0.59],[0.82 0.71],[0.85 0.64]
55,55,0.46,0.79,[0.88 0.59],[0.82 0.71],[0.85 0.64]
56,56,0.46,0.79,[0.88 0.6 ],[0.82 0.71],[0.85 0.64]
57,57,0.46,0.79,[0.88 0.59],[0.81 0.71],[0.85 0.64]
58,58,0.46,0.78,[0.88 0.59],[0.82 0.7 ],[0.84 0.64]
