,epoch,loss,accuracy,recall,precision,f1
0,0,0.64,0.62,[0.87 0.13],[0.6  0.09],[0.7  0.07]
1,1,0.55,0.72,[0.94 0.27],[0.73 0.65],[0.82 0.35]
2,2,0.5,0.75,[0.88 0.5 ],[0.78 0.67],[0.83 0.56]
3,3,0.47,0.78,[0.87 0.58],[0.81 0.69],[0.84 0.62]
4,4,0.46,0.79,[0.87 0.61],[0.82 0.7 ],[0.84 0.65]
5,5,0.45,0.79,[0.88 0.62],[0.83 0.71],[0.85 0.66]
6,6,0.44,0.8,[0.88 0.62],[0.83 0.72],[0.85 0.66]
7,7,0.43,0.8,[0.89 0.63],[0.83 0.73],[0.86 0.67]
8,8,0.42,0.81,[0.89 0.64],[0.84 0.74],[0.86 0.68]
9,9,0.41,0.81,[0.89 0.65],[0.84 0.74],[0.86 0.69]
10,10,0.41,0.82,[0.89 0.66],[0.84 0.75],[0.87 0.7 ]
11,11,0.4,0.82,[0.89 0.67],[0.85 0.75],[0.87 0.7 ]
12,12,0.39,0.82,[0.89 0.68],[0.85 0.75],[0.87 0.71]
13,13,0.38,0.83,[0.89 0.7 ],[0.86 0.76],[0.87 0.72]
14,14,0.37,0.84,[0.9  0.72],[0.87 0.77],[0.88 0.74]
15,15,0.36,0.84,[0.9  0.73],[0.87 0.78],[0.88 0.75]
16,16,0.34,0.85,[0.9  0.75],[0.88 0.79],[0.89 0.77]
17,17,0.33,0.86,[0.91 0.76],[0.89 0.8 ],[0.9  0.78]
18,18,0.32,0.87,[0.91 0.78],[0.9  0.81],[0.9  0.79]
19,19,0.31,0.87,[0.91 0.8 ],[0.9  0.82],[0.91 0.8 ]
20,20,0.29,0.88,[0.92 0.82],[0.91 0.83],[0.91 0.82]
21,21,0.28,0.89,[0.92 0.83],[0.92 0.83],[0.92 0.83]
22,22,0.28,0.89,[0.92 0.83],[0.92 0.84],[0.92 0.83]
23,23,0.27,0.89,[0.92 0.84],[0.92 0.84],[0.92 0.83]
24,24,0.26,0.9,[0.93 0.84],[0.92 0.85],[0.92 0.84]
25,25,0.25,0.9,[0.93 0.85],[0.93 0.86],[0.93 0.85]
26,26,0.24,0.91,[0.93 0.86],[0.93 0.86],[0.93 0.86]
