,epoch,loss,accuracy,recall,precision,f1
0,0,0.68,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
1,1,0.66,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
2,2,0.65,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
3,3,0.63,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
4,4,0.63,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
5,5,0.62,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
6,6,0.6,0.67,[1. 0.],[0.67 0.15],[0.8  0.01]
7,7,0.57,0.69,[0.98 0.1 ],[0.69 0.68],[0.81 0.17]
8,8,0.55,0.72,[0.94 0.28],[0.73 0.69],[0.82 0.39]
9,9,0.53,0.74,[0.92 0.36],[0.75 0.68],[0.82 0.47]
10,10,0.52,0.74,[0.91 0.4 ],[0.76 0.68],[0.83 0.5 ]
11,11,0.51,0.75,[0.91 0.43],[0.77 0.69],[0.83 0.53]
12,12,0.5,0.76,[0.9  0.46],[0.77 0.69],[0.83 0.54]
13,13,0.5,0.76,[0.9  0.47],[0.78 0.7 ],[0.84 0.56]
14,14,0.49,0.77,[0.9  0.49],[0.78 0.7 ],[0.84 0.57]
15,15,0.49,0.77,[0.9 0.5],[0.79 0.71],[0.84 0.58]
16,16,0.48,0.77,[0.9  0.51],[0.79 0.71],[0.84 0.59]
17,17,0.48,0.77,[0.9  0.52],[0.79 0.71],[0.84 0.59]
18,18,0.48,0.78,[0.9  0.52],[0.79 0.71],[0.84 0.6 ]
19,19,0.47,0.78,[0.9  0.53],[0.8  0.71],[0.84 0.6 ]
20,20,0.47,0.78,[0.9  0.53],[0.8  0.72],[0.84 0.61]
21,21,0.47,0.78,[0.9  0.54],[0.8  0.72],[0.84 0.61]
22,22,0.47,0.78,[0.9  0.54],[0.8  0.72],[0.85 0.61]
23,23,0.47,0.78,[0.9  0.54],[0.8  0.72],[0.85 0.61]
24,24,0.46,0.78,[0.9  0.55],[0.8  0.72],[0.85 0.62]
25,25,0.46,0.79,[0.9  0.55],[0.81 0.73],[0.85 0.62]
26,26,0.46,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.63]
27,27,0.46,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.63]
28,28,0.46,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.63]
29,29,0.46,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.63]
30,30,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.63]
31,31,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.63]
32,32,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.64]
33,33,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.64]
34,34,0.45,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.64]
35,35,0.45,0.79,[0.9  0.58],[0.81 0.74],[0.85 0.64]
36,36,0.45,0.79,[0.9  0.58],[0.81 0.74],[0.85 0.64]
37,37,0.45,0.79,[0.9  0.58],[0.81 0.74],[0.85 0.64]
38,38,0.44,0.79,[0.9  0.58],[0.81 0.74],[0.85 0.64]
39,39,0.44,0.8,[0.9  0.58],[0.82 0.74],[0.85 0.65]
40,40,0.44,0.8,[0.9  0.58],[0.82 0.74],[0.86 0.65]
41,41,0.44,0.8,[0.9  0.58],[0.82 0.74],[0.86 0.65]
42,42,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
43,43,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
44,44,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
45,45,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.86 0.65]
46,46,0.44,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.65]
47,47,0.44,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.65]
48,48,0.43,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.66]
49,49,0.43,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.66]
50,50,0.43,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.66]
51,51,0.43,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.66]
