,epoch,loss,accuracy,recall,precision,f1
0,0,0.56,0.72,[0.93 0.29],[0.74 0.47],[0.82 0.34]
1,1,0.47,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.62]
2,2,0.44,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.65]
3,3,0.42,0.81,[0.9  0.62],[0.83 0.76],[0.86 0.68]
4,4,0.4,0.82,[0.9  0.64],[0.84 0.77],[0.87 0.69]
5,5,0.38,0.83,[0.91 0.67],[0.85 0.78],[0.87 0.71]
6,6,0.36,0.84,[0.91 0.7 ],[0.86 0.79],[0.88 0.74]
7,7,0.34,0.85,[0.91 0.73],[0.88 0.81],[0.89 0.76]
8,8,0.31,0.87,[0.92 0.77],[0.89 0.83],[0.9  0.79]
9,9,0.28,0.89,[0.93 0.8 ],[0.9  0.85],[0.92 0.82]
10,10,0.25,0.9,[0.94 0.82],[0.92 0.87],[0.92 0.84]
11,11,0.24,0.91,[0.94 0.83],[0.92 0.88],[0.93 0.85]
12,12,0.22,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
13,13,0.18,0.94,[0.96 0.89],[0.95 0.92],[0.95 0.9 ]
14,14,0.16,0.95,[0.97 0.9 ],[0.95 0.94],[0.96 0.92]
15,15,0.14,0.96,[0.97 0.92],[0.96 0.95],[0.97 0.93]
16,16,0.12,0.96,[0.98 0.93],[0.97 0.95],[0.97 0.94]
17,17,0.13,0.96,[0.97 0.93],[0.97 0.95],[0.97 0.94]
18,18,0.13,0.96,[0.97 0.92],[0.96 0.95],[0.97 0.93]
19,19,0.13,0.96,[0.97 0.93],[0.97 0.95],[0.97 0.93]
20,20,0.09,0.97,[0.98 0.95],[0.98 0.97],[0.98 0.96]
21,21,0.07,0.98,[0.99 0.97],[0.99 0.98],[0.99 0.98]
