,epoch,loss,accuracy,recall,precision,f1
0,0,0.64,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
1,1,0.59,0.67,[0.99 0.04],[0.68 0.19],[0.8  0.06]
2,2,0.53,0.73,[0.89 0.42],[0.76 0.64],[0.82 0.49]
3,3,0.51,0.75,[0.87 0.51],[0.78 0.65],[0.82 0.57]
4,4,0.49,0.76,[0.88 0.54],[0.8  0.68],[0.83 0.6 ]
5,5,0.49,0.77,[0.88 0.54],[0.8  0.69],[0.84 0.6 ]
6,6,0.48,0.77,[0.88 0.55],[0.8  0.69],[0.84 0.6 ]
7,7,0.47,0.78,[0.88 0.57],[0.81 0.7 ],[0.84 0.62]
8,8,0.47,0.78,[0.88 0.56],[0.81 0.7 ],[0.84 0.62]
9,9,0.46,0.78,[0.88 0.57],[0.81 0.7 ],[0.84 0.62]
10,10,0.46,0.78,[0.89 0.57],[0.81 0.71],[0.85 0.62]
11,11,0.46,0.78,[0.88 0.58],[0.81 0.71],[0.85 0.63]
12,12,0.45,0.78,[0.88 0.58],[0.81 0.71],[0.85 0.63]
13,13,0.45,0.79,[0.89 0.6 ],[0.82 0.73],[0.85 0.65]
14,14,0.45,0.79,[0.89 0.59],[0.82 0.72],[0.85 0.64]
15,15,0.45,0.79,[0.89 0.6 ],[0.82 0.72],[0.85 0.65]
16,16,0.44,0.8,[0.89 0.61],[0.82 0.73],[0.85 0.66]
17,17,0.44,0.8,[0.89 0.62],[0.83 0.73],[0.86 0.66]
18,18,0.44,0.8,[0.89 0.62],[0.83 0.73],[0.86 0.67]
19,19,0.44,0.8,[0.89 0.61],[0.83 0.73],[0.85 0.66]
20,20,0.43,0.8,[0.89 0.63],[0.83 0.74],[0.86 0.67]
21,21,0.43,0.81,[0.89 0.64],[0.83 0.73],[0.86 0.68]
22,22,0.42,0.81,[0.89 0.65],[0.84 0.74],[0.86 0.69]
23,23,0.42,0.81,[0.89 0.65],[0.84 0.74],[0.86 0.69]
24,24,0.42,0.82,[0.89 0.65],[0.84 0.75],[0.87 0.7 ]
25,25,0.42,0.82,[0.9  0.66],[0.84 0.75],[0.87 0.7 ]
26,26,0.41,0.82,[0.89 0.67],[0.85 0.75],[0.87 0.7 ]
27,27,0.41,0.82,[0.89 0.68],[0.85 0.75],[0.87 0.71]
28,28,0.41,0.83,[0.9  0.68],[0.85 0.76],[0.87 0.72]
