,epoch,loss,accuracy,recall,precision,f1
0,0,0.62,0.67,[0.96 0.1 ],[0.68 0.23],[0.79 0.11]
1,1,0.51,0.76,[0.9  0.46],[0.77 0.69],[0.83 0.54]
2,2,0.47,0.78,[0.9  0.54],[0.8  0.73],[0.85 0.61]
3,3,0.46,0.79,[0.9  0.56],[0.81 0.74],[0.85 0.63]
4,4,0.44,0.8,[0.9  0.58],[0.81 0.75],[0.86 0.65]
5,5,0.44,0.8,[0.91 0.59],[0.82 0.75],[0.86 0.66]
6,6,0.43,0.81,[0.91 0.6 ],[0.82 0.76],[0.86 0.66]
7,7,0.42,0.81,[0.91 0.61],[0.83 0.76],[0.86 0.67]
8,8,0.41,0.82,[0.91 0.63],[0.83 0.77],[0.87 0.69]
9,9,0.4,0.82,[0.91 0.65],[0.84 0.77],[0.87 0.7 ]
10,10,0.39,0.83,[0.91 0.66],[0.85 0.78],[0.88 0.71]
11,11,0.38,0.84,[0.91 0.68],[0.86 0.79],[0.88 0.73]
12,12,0.37,0.84,[0.91 0.7 ],[0.86 0.79],[0.89 0.74]
13,13,0.36,0.85,[0.92 0.72],[0.87 0.8 ],[0.89 0.75]
14,14,0.35,0.85,[0.92 0.72],[0.87 0.81],[0.89 0.76]
15,15,0.33,0.86,[0.92 0.75],[0.88 0.82],[0.9  0.78]
16,16,0.32,0.87,[0.92 0.76],[0.89 0.83],[0.9  0.79]
17,17,0.31,0.87,[0.92 0.77],[0.89 0.83],[0.91 0.8 ]
18,18,0.3,0.88,[0.93 0.79],[0.9  0.85],[0.91 0.81]
19,19,0.29,0.88,[0.93 0.79],[0.9  0.85],[0.91 0.81]
20,20,0.29,0.88,[0.93 0.79],[0.9  0.85],[0.91 0.81]
21,21,0.28,0.89,[0.93 0.8 ],[0.91 0.85],[0.92 0.82]
22,22,0.27,0.89,[0.93 0.81],[0.91 0.86],[0.92 0.83]
23,23,0.26,0.9,[0.94 0.82],[0.92 0.87],[0.93 0.84]
