,epoch,loss,accuracy,recall,precision,f1
0,0,0.57,0.71,[0.93 0.29],[0.73 0.41],[0.81 0.32]
1,1,0.47,0.78,[0.88 0.59],[0.81 0.71],[0.84 0.63]
2,2,0.44,0.8,[0.89 0.6 ],[0.82 0.74],[0.85 0.66]
3,3,0.42,0.81,[0.9  0.62],[0.83 0.75],[0.86 0.67]
4,4,0.4,0.82,[0.9  0.64],[0.84 0.77],[0.87 0.69]
5,5,0.38,0.83,[0.91 0.67],[0.85 0.78],[0.88 0.72]
6,6,0.35,0.85,[0.91 0.72],[0.87 0.8 ],[0.89 0.75]
7,7,0.32,0.86,[0.91 0.76],[0.89 0.81],[0.9  0.78]
8,8,0.28,0.88,[0.92 0.8 ],[0.9  0.83],[0.91 0.81]
9,9,0.25,0.9,[0.93 0.83],[0.92 0.86],[0.92 0.84]
10,10,0.22,0.91,[0.94 0.86],[0.93 0.87],[0.93 0.86]
11,11,0.17,0.93,[0.95 0.89],[0.95 0.91],[0.95 0.9 ]
12,12,0.15,0.94,[0.96 0.91],[0.96 0.91],[0.96 0.91]
13,13,0.15,0.95,[0.96 0.91],[0.96 0.92],[0.96 0.92]
14,14,0.13,0.95,[0.97 0.93],[0.97 0.93],[0.97 0.93]
15,15,0.11,0.96,[0.97 0.94],[0.97 0.94],[0.97 0.94]
16,16,0.1,0.97,[0.98 0.95],[0.97 0.95],[0.97 0.95]
17,17,0.08,0.97,[0.98 0.95],[0.98 0.96],[0.98 0.95]
18,18,0.07,0.98,[0.98 0.96],[0.98 0.97],[0.98 0.96]
19,19,0.09,0.97,[0.98 0.95],[0.98 0.96],[0.98 0.95]
20,20,0.07,0.97,[0.98 0.96],[0.98 0.96],[0.98 0.96]
21,21,0.06,0.98,[0.99 0.97],[0.98 0.97],[0.99 0.97]
