,epoch,loss,accuracy,recall,precision,f1
0,0,0.58,0.71,[0.94 0.23],[0.72 0.39],[0.81 0.27]
1,1,0.48,0.78,[0.9  0.54],[0.8  0.72],[0.84 0.61]
2,2,0.45,0.8,[0.9  0.58],[0.82 0.74],[0.86 0.65]
3,3,0.43,0.81,[0.9  0.61],[0.83 0.75],[0.86 0.67]
4,4,0.41,0.81,[0.9  0.63],[0.83 0.76],[0.87 0.69]
5,5,0.4,0.82,[0.91 0.65],[0.84 0.77],[0.87 0.7 ]
6,6,0.38,0.83,[0.91 0.68],[0.85 0.79],[0.88 0.72]
7,7,0.36,0.85,[0.91 0.71],[0.87 0.8 ],[0.89 0.75]
8,8,0.33,0.86,[0.92 0.74],[0.88 0.82],[0.9  0.77]
9,9,0.31,0.87,[0.92 0.77],[0.89 0.83],[0.91 0.8 ]
10,10,0.29,0.89,[0.93 0.79],[0.9  0.86],[0.92 0.82]
11,11,0.27,0.89,[0.94 0.8 ],[0.91 0.86],[0.92 0.82]
12,12,0.26,0.9,[0.93 0.82],[0.92 0.86],[0.92 0.84]
13,13,0.22,0.92,[0.95 0.86],[0.93 0.89],[0.94 0.87]
14,14,0.19,0.94,[0.96 0.88],[0.94 0.92],[0.95 0.9 ]
15,15,0.18,0.94,[0.96 0.9 ],[0.95 0.92],[0.95 0.91]
16,16,0.18,0.94,[0.96 0.88],[0.95 0.92],[0.95 0.9 ]
17,17,0.16,0.94,[0.96 0.91],[0.96 0.93],[0.96 0.91]
18,18,0.13,0.96,[0.97 0.93],[0.97 0.94],[0.97 0.94]
19,19,0.12,0.96,[0.98 0.93],[0.97 0.95],[0.97 0.94]
20,20,0.12,0.96,[0.98 0.93],[0.97 0.95],[0.97 0.94]
21,21,0.11,0.96,[0.98 0.94],[0.97 0.96],[0.97 0.95]
22,22,0.11,0.97,[0.98 0.94],[0.97 0.96],[0.98 0.95]
