,epoch,loss,accuracy,recall,precision,f1
0,0,0.58,0.71,[0.95 0.22],[0.72 0.38],[0.81 0.26]
1,1,0.49,0.77,[0.9  0.51],[0.79 0.72],[0.84 0.58]
2,2,0.46,0.79,[0.9  0.56],[0.81 0.74],[0.85 0.62]
3,3,0.45,0.8,[0.9  0.58],[0.81 0.74],[0.85 0.64]
4,4,0.44,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
5,5,0.43,0.81,[0.9  0.61],[0.83 0.75],[0.86 0.66]
6,6,0.42,0.81,[0.9  0.62],[0.83 0.76],[0.86 0.67]
7,7,0.41,0.82,[0.91 0.64],[0.84 0.77],[0.87 0.69]
8,8,0.4,0.82,[0.91 0.65],[0.84 0.78],[0.87 0.7 ]
9,9,0.39,0.83,[0.91 0.67],[0.85 0.78],[0.88 0.71]
10,10,0.37,0.84,[0.91 0.69],[0.86 0.79],[0.88 0.72]
11,11,0.36,0.85,[0.91 0.71],[0.87 0.8 ],[0.89 0.74]
12,12,0.35,0.85,[0.92 0.72],[0.87 0.81],[0.89 0.75]
13,13,0.33,0.86,[0.92 0.74],[0.88 0.82],[0.9  0.77]
14,14,0.32,0.87,[0.93 0.76],[0.89 0.84],[0.91 0.79]
15,15,0.3,0.88,[0.93 0.78],[0.9  0.85],[0.91 0.8 ]
16,16,0.28,0.89,[0.94 0.8 ],[0.91 0.86],[0.92 0.82]
17,17,0.27,0.9,[0.94 0.82],[0.91 0.88],[0.93 0.84]
18,18,0.25,0.91,[0.95 0.83],[0.92 0.89],[0.93 0.85]
19,19,0.24,0.91,[0.95 0.84],[0.93 0.89],[0.94 0.86]
20,20,0.23,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
21,21,0.22,0.92,[0.95 0.86],[0.93 0.9 ],[0.94 0.87]
22,22,0.22,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.86]
23,23,0.21,0.92,[0.95 0.85],[0.93 0.9 ],[0.94 0.87]
