,epoch,loss,accuracy,recall,precision,f1
0,0,0.64,0.67,[0.97 0.06],[0.68 0.33],[0.8  0.09]
1,1,0.59,0.71,[0.97 0.18],[0.71 0.67],[0.81 0.27]
2,2,0.56,0.73,[0.95 0.31],[0.74 0.72],[0.82 0.41]
3,3,0.53,0.75,[0.93 0.39],[0.76 0.71],[0.83 0.49]
4,4,0.51,0.77,[0.93 0.45],[0.77 0.74],[0.84 0.54]
5,5,0.49,0.78,[0.92 0.48],[0.79 0.74],[0.84 0.57]
6,6,0.47,0.78,[0.91 0.52],[0.8  0.74],[0.85 0.59]
7,7,0.46,0.79,[0.92 0.55],[0.8  0.75],[0.85 0.62]
8,8,0.45,0.79,[0.91 0.56],[0.81 0.75],[0.85 0.62]
9,9,0.44,0.8,[0.91 0.58],[0.82 0.76],[0.86 0.64]
10,10,0.43,0.8,[0.92 0.57],[0.82 0.77],[0.86 0.64]
11,11,0.42,0.81,[0.92 0.6 ],[0.82 0.77],[0.87 0.66]
12,12,0.42,0.82,[0.92 0.61],[0.83 0.78],[0.87 0.67]
13,13,0.41,0.82,[0.92 0.62],[0.83 0.78],[0.87 0.68]
14,14,0.4,0.82,[0.92 0.63],[0.83 0.79],[0.87 0.68]
15,15,0.39,0.83,[0.92 0.63],[0.84 0.8 ],[0.88 0.69]
16,16,0.39,0.83,[0.93 0.64],[0.84 0.8 ],[0.88 0.7 ]
17,17,0.38,0.84,[0.93 0.66],[0.85 0.81],[0.88 0.71]
18,18,0.38,0.84,[0.93 0.66],[0.85 0.81],[0.88 0.72]
19,19,0.36,0.85,[0.93 0.68],[0.86 0.83],[0.89 0.73]
20,20,0.36,0.85,[0.93 0.67],[0.85 0.82],[0.89 0.73]
21,21,0.35,0.85,[0.93 0.69],[0.86 0.83],[0.89 0.75]
22,22,0.34,0.86,[0.94 0.7 ],[0.87 0.84],[0.9  0.75]
23,23,0.34,0.86,[0.93 0.71],[0.87 0.84],[0.9  0.76]
24,24,0.33,0.87,[0.94 0.72],[0.87 0.85],[0.9  0.77]
25,25,0.33,0.87,[0.94 0.72],[0.87 0.85],[0.9  0.77]
26,26,0.32,0.87,[0.94 0.73],[0.88 0.85],[0.91 0.78]
27,27,0.31,0.87,[0.94 0.74],[0.88 0.85],[0.91 0.78]
28,28,0.31,0.88,[0.94 0.74],[0.88 0.86],[0.91 0.79]
29,29,0.3,0.88,[0.95 0.75],[0.89 0.87],[0.91 0.8 ]
30,30,0.3,0.89,[0.95 0.76],[0.89 0.87],[0.92 0.8 ]
31,31,0.29,0.89,[0.95 0.77],[0.89 0.88],[0.92 0.81]
32,32,0.28,0.89,[0.95 0.77],[0.9  0.88],[0.92 0.82]
