,epoch,loss,accuracy,recall,precision,f1
0,0,0.56,0.71,[0.9  0.33],[0.74 0.4 ],[0.81 0.35]
1,1,0.48,0.77,[0.87 0.55],[0.8  0.68],[0.83 0.59]
2,2,0.47,0.78,[0.88 0.55],[0.8 0.7],[0.84 0.6 ]
3,3,0.46,0.78,[0.89 0.56],[0.81 0.71],[0.84 0.61]
4,4,0.45,0.79,[0.89 0.58],[0.81 0.73],[0.85 0.63]
5,5,0.44,0.8,[0.9 0.6],[0.82 0.74],[0.85 0.64]
6,6,0.43,0.81,[0.9  0.62],[0.83 0.75],[0.86 0.66]
7,7,0.42,0.82,[0.9  0.64],[0.84 0.76],[0.87 0.68]
8,8,0.4,0.82,[0.9  0.66],[0.85 0.77],[0.87 0.7 ]
9,9,0.38,0.84,[0.91 0.69],[0.86 0.79],[0.88 0.72]
10,10,0.36,0.85,[0.91 0.72],[0.87 0.8 ],[0.89 0.75]
11,11,0.34,0.86,[0.92 0.74],[0.88 0.81],[0.9  0.77]
