,epoch,loss,accuracy,recall,precision,f1
0,0,0.59,0.69,[0.93 0.19],[0.7 0.3],[0.8  0.21]
1,1,0.52,0.74,[0.87 0.49],[0.78 0.65],[0.82 0.53]
2,2,0.51,0.75,[0.87 0.5 ],[0.78 0.67],[0.82 0.55]
3,3,0.5,0.76,[0.88 0.52],[0.79 0.67],[0.82 0.56]
4,4,0.5,0.76,[0.88 0.52],[0.79 0.68],[0.83 0.57]
5,5,0.49,0.76,[0.88 0.53],[0.79 0.69],[0.83 0.57]
6,6,0.49,0.77,[0.89 0.53],[0.8 0.7],[0.83 0.58]
7,7,0.48,0.77,[0.89 0.54],[0.8 0.7],[0.84 0.59]
8,8,0.47,0.77,[0.89 0.54],[0.8  0.71],[0.84 0.59]
9,9,0.47,0.78,[0.89 0.55],[0.8  0.72],[0.84 0.6 ]
10,10,0.46,0.78,[0.89 0.56],[0.81 0.72],[0.84 0.61]
11,11,0.46,0.79,[0.9  0.57],[0.81 0.73],[0.85 0.62]
12,12,0.45,0.79,[0.9  0.58],[0.82 0.74],[0.85 0.63]
13,13,0.44,0.8,[0.9 0.6],[0.82 0.75],[0.85 0.64]
14,14,0.43,0.8,[0.9  0.61],[0.83 0.75],[0.86 0.66]
