,epoch,loss,accuracy,recall,precision,f1
0,0,0.69,0.51,[0.5  0.52],[0.61 0.32],[0.46 0.31]
1,1,0.68,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
2,2,0.66,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
3,3,0.64,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
4,4,0.63,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
5,5,0.63,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
6,6,0.62,0.67,[1. 0.],[0.67 0.02],[0.8 0. ]
7,7,0.6,0.67,[1.   0.01],[0.67 0.14],[0.8  0.01]
8,8,0.59,0.68,[1.   0.04],[0.68 0.51],[0.81 0.08]
9,9,0.56,0.7,[0.97 0.16],[0.7 0.7],[0.81 0.25]
10,10,0.55,0.72,[0.95 0.25],[0.72 0.7 ],[0.82 0.36]
11,11,0.54,0.73,[0.94 0.3 ],[0.73 0.69],[0.82 0.41]
12,12,0.53,0.73,[0.93 0.34],[0.74 0.68],[0.82 0.45]
13,13,0.52,0.74,[0.92 0.37],[0.75 0.68],[0.82 0.47]
14,14,0.52,0.74,[0.91 0.4 ],[0.76 0.68],[0.83 0.49]
15,15,0.51,0.75,[0.91 0.42],[0.76 0.68],[0.83 0.51]
16,16,0.51,0.75,[0.91 0.44],[0.77 0.69],[0.83 0.53]
17,17,0.5,0.76,[0.9  0.45],[0.77 0.7 ],[0.83 0.54]
18,18,0.5,0.76,[0.9  0.46],[0.78 0.7 ],[0.83 0.55]
19,19,0.49,0.76,[0.9  0.47],[0.78 0.7 ],[0.83 0.56]
20,20,0.49,0.76,[0.9  0.48],[0.78 0.7 ],[0.84 0.56]
21,21,0.49,0.77,[0.9  0.49],[0.78 0.71],[0.84 0.57]
22,22,0.49,0.77,[0.9  0.49],[0.78 0.71],[0.84 0.57]
23,23,0.48,0.77,[0.9 0.5],[0.79 0.71],[0.84 0.58]
24,24,0.48,0.77,[0.9 0.5],[0.79 0.71],[0.84 0.58]
25,25,0.48,0.77,[0.9 0.5],[0.79 0.71],[0.84 0.58]
26,26,0.48,0.77,[0.9  0.51],[0.79 0.71],[0.84 0.59]
27,27,0.48,0.77,[0.9  0.51],[0.79 0.72],[0.84 0.59]
28,28,0.48,0.77,[0.9  0.51],[0.79 0.72],[0.84 0.59]
29,29,0.47,0.77,[0.9  0.51],[0.79 0.72],[0.84 0.59]
30,30,0.47,0.78,[0.9  0.52],[0.79 0.72],[0.84 0.6 ]
31,31,0.47,0.78,[0.9  0.52],[0.79 0.72],[0.84 0.6 ]
32,32,0.47,0.78,[0.9  0.52],[0.79 0.72],[0.84 0.6 ]
33,33,0.47,0.78,[0.9  0.52],[0.79 0.73],[0.84 0.6 ]
34,34,0.47,0.78,[0.9  0.52],[0.8  0.73],[0.84 0.6 ]
35,35,0.47,0.78,[0.9  0.53],[0.8  0.73],[0.85 0.61]
36,36,0.47,0.78,[0.9  0.53],[0.8  0.73],[0.85 0.61]
37,37,0.46,0.78,[0.9  0.54],[0.8  0.73],[0.85 0.61]
38,38,0.46,0.78,[0.9  0.54],[0.8  0.74],[0.85 0.62]
39,39,0.46,0.79,[0.9  0.54],[0.8  0.74],[0.85 0.62]
40,40,0.46,0.79,[0.9  0.55],[0.8  0.74],[0.85 0.62]
41,41,0.46,0.79,[0.9  0.55],[0.8  0.74],[0.85 0.62]
42,42,0.46,0.79,[0.9  0.55],[0.8  0.74],[0.85 0.62]
43,43,0.46,0.79,[0.9  0.55],[0.8  0.74],[0.85 0.62]
44,44,0.46,0.79,[0.91 0.55],[0.8  0.74],[0.85 0.63]
45,45,0.46,0.79,[0.91 0.55],[0.8  0.74],[0.85 0.63]
46,46,0.46,0.79,[0.91 0.55],[0.81 0.74],[0.85 0.63]
47,47,0.45,0.79,[0.91 0.56],[0.81 0.74],[0.85 0.63]
48,48,0.45,0.79,[0.91 0.56],[0.81 0.74],[0.85 0.63]
49,49,0.45,0.79,[0.91 0.56],[0.81 0.74],[0.85 0.63]
50,50,0.45,0.79,[0.91 0.56],[0.81 0.74],[0.85 0.63]
51,51,0.45,0.79,[0.91 0.56],[0.81 0.75],[0.85 0.64]
52,52,0.45,0.79,[0.91 0.56],[0.81 0.75],[0.85 0.64]
53,53,0.45,0.79,[0.91 0.56],[0.81 0.75],[0.85 0.64]
54,54,0.45,0.79,[0.91 0.56],[0.81 0.75],[0.85 0.64]
55,55,0.45,0.79,[0.91 0.56],[0.81 0.75],[0.85 0.64]
