,epoch,loss,accuracy,recall,precision,f1
0,0,0.64,0.67,[1. 0.],[0.67 0.  ],[0.8 0. ]
1,1,0.62,0.68,[0.98 0.05],[0.68 0.16],[0.8  0.08]
2,2,0.55,0.72,[0.85 0.45],[0.76 0.58],[0.8  0.49]
3,3,0.49,0.77,[0.85 0.61],[0.82 0.67],[0.83 0.63]
4,4,0.47,0.78,[0.87 0.62],[0.82 0.7 ],[0.84 0.65]
5,5,0.45,0.8,[0.88 0.63],[0.83 0.72],[0.85 0.66]
6,6,0.45,0.8,[0.87 0.64],[0.83 0.72],[0.85 0.67]
7,7,0.44,0.8,[0.88 0.65],[0.84 0.73],[0.86 0.68]
8,8,0.43,0.81,[0.88 0.66],[0.84 0.73],[0.86 0.69]
9,9,0.42,0.82,[0.88 0.68],[0.85 0.74],[0.86 0.7 ]
10,10,0.41,0.82,[0.89 0.69],[0.85 0.75],[0.87 0.71]
11,11,0.4,0.82,[0.88 0.7 ],[0.86 0.75],[0.87 0.72]
12,12,0.39,0.83,[0.88 0.74],[0.87 0.76],[0.88 0.74]
13,13,0.38,0.84,[0.89 0.74],[0.87 0.77],[0.88 0.75]
14,14,0.37,0.85,[0.89 0.76],[0.88 0.78],[0.89 0.76]
15,15,0.35,0.86,[0.9  0.78],[0.89 0.79],[0.89 0.78]
16,16,0.34,0.87,[0.91 0.79],[0.9  0.81],[0.9 0.8]
17,17,0.33,0.87,[0.91 0.8 ],[0.9  0.81],[0.9 0.8]
18,18,0.31,0.88,[0.92 0.81],[0.91 0.83],[0.91 0.82]
19,19,0.29,0.89,[0.92 0.83],[0.92 0.84],[0.92 0.83]
20,20,0.29,0.89,[0.92 0.82],[0.92 0.85],[0.92 0.83]
21,21,0.28,0.9,[0.93 0.83],[0.92 0.85],[0.92 0.84]
22,22,0.27,0.91,[0.94 0.85],[0.93 0.87],[0.93 0.86]
23,23,0.25,0.91,[0.94 0.86],[0.93 0.88],[0.94 0.87]
24,24,0.24,0.92,[0.95 0.86],[0.93 0.89],[0.94 0.87]
