,epoch,loss,accuracy,recall,precision,f1
0,0,0.58,0.7,[0.93 0.24],[0.71 0.39],[0.8  0.27]
1,1,0.48,0.77,[0.9  0.52],[0.79 0.72],[0.84 0.59]
2,2,0.46,0.79,[0.9  0.56],[0.81 0.73],[0.85 0.63]
3,3,0.44,0.8,[0.9  0.58],[0.82 0.74],[0.86 0.65]
4,4,0.43,0.8,[0.91 0.6 ],[0.82 0.75],[0.86 0.66]
5,5,0.42,0.81,[0.91 0.62],[0.83 0.76],[0.86 0.67]
6,6,0.41,0.82,[0.91 0.64],[0.84 0.77],[0.87 0.69]
7,7,0.39,0.82,[0.91 0.66],[0.84 0.77],[0.87 0.7 ]
8,8,0.38,0.83,[0.91 0.68],[0.85 0.79],[0.88 0.72]
9,9,0.36,0.84,[0.91 0.7 ],[0.86 0.79],[0.88 0.74]
10,10,0.34,0.85,[0.91 0.73],[0.87 0.81],[0.89 0.76]
11,11,0.33,0.86,[0.92 0.75],[0.88 0.82],[0.9  0.78]
12,12,0.31,0.87,[0.92 0.77],[0.89 0.83],[0.91 0.79]
13,13,0.29,0.88,[0.93 0.79],[0.9  0.84],[0.91 0.81]
14,14,0.28,0.89,[0.93 0.81],[0.91 0.85],[0.92 0.82]
15,15,0.26,0.9,[0.94 0.82],[0.92 0.87],[0.93 0.84]
16,16,0.25,0.9,[0.94 0.83],[0.92 0.87],[0.93 0.85]
17,17,0.24,0.91,[0.94 0.84],[0.92 0.88],[0.93 0.85]
18,18,0.24,0.91,[0.94 0.84],[0.93 0.88],[0.93 0.85]
19,19,0.22,0.92,[0.95 0.85],[0.93 0.89],[0.94 0.87]
20,20,0.2,0.93,[0.96 0.88],[0.94 0.91],[0.95 0.89]
21,21,0.18,0.94,[0.96 0.89],[0.95 0.92],[0.95 0.9 ]
22,22,0.16,0.95,[0.97 0.91],[0.96 0.93],[0.96 0.92]
