,epoch,loss,accuracy,recall,precision,f1
0,0,0.57,0.72,[0.92 0.32],[0.74 0.5 ],[0.81 0.36]
1,1,0.47,0.78,[0.87 0.6 ],[0.82 0.71],[0.84 0.64]
2,2,0.44,0.8,[0.89 0.62],[0.83 0.74],[0.86 0.66]
3,3,0.41,0.82,[0.9  0.65],[0.84 0.76],[0.87 0.69]
4,4,0.38,0.84,[0.91 0.7 ],[0.86 0.79],[0.88 0.73]
5,5,0.36,0.85,[0.91 0.72],[0.87 0.8 ],[0.89 0.75]
6,6,0.33,0.87,[0.92 0.78],[0.89 0.82],[0.91 0.79]
7,7,0.29,0.89,[0.93 0.82],[0.91 0.85],[0.92 0.83]
8,8,0.26,0.91,[0.94 0.84],[0.93 0.87],[0.93 0.85]
9,9,0.23,0.92,[0.94 0.87],[0.94 0.88],[0.94 0.87]
10,10,0.21,0.93,[0.95 0.88],[0.95 0.9 ],[0.95 0.89]
11,11,0.18,0.94,[0.96 0.9 ],[0.95 0.91],[0.95 0.9 ]
12,12,0.15,0.95,[0.96 0.92],[0.96 0.93],[0.96 0.92]
13,13,0.14,0.96,[0.97 0.93],[0.97 0.94],[0.97 0.93]
14,14,0.12,0.96,[0.97 0.93],[0.97 0.95],[0.97 0.94]
15,15,0.11,0.97,[0.98 0.94],[0.97 0.95],[0.97 0.94]
16,16,0.1,0.97,[0.98 0.95],[0.97 0.96],[0.98 0.95]
17,17,0.09,0.97,[0.98 0.95],[0.98 0.97],[0.98 0.96]
18,18,0.08,0.98,[0.99 0.96],[0.98 0.97],[0.98 0.96]
19,19,0.07,0.98,[0.99 0.96],[0.98 0.97],[0.98 0.97]
20,20,0.07,0.98,[0.99 0.96],[0.98 0.97],[0.98 0.97]
21,21,0.07,0.98,[0.99 0.96],[0.98 0.98],[0.98 0.97]
